xs_id,distance_along_centerline_m,num_valid_points,elevation_range_m,max_slope_deg,distortion_risk
XS_0569,14225.0,100,7.951411119647219,68.86709108223218,low
XS_0570,14250.0,100,7.663999999999987,67.87659539718122,low
XS_0571,14275.0,100,7.102519568177968,63.00229843506594,low
XS_0572,14300.0,100,6.830000000000041,59.45887356834404,low
XS_0573,14325.0,100,5.984000000000151,55.32257731234934,low
XS_0574,14350.0,100,6.398000000000138,56.9085945344603,low
XS_0575,14375.0,100,6.416000000000167,56.60174300920999,low
XS_0576,14400.0,100,6.039090359866236,55.626989557666604,low
XS_0577,14425.0,100,5.711999999999989,54.459612093056954,low
XS_0578,14450.0,100,7.7000000000000455,54.12469285148159,low
XS_0579,14475.0,100,7.700000000000159,60.68669724609364,low
XS_0580,14500.0,100,7.700000000000159,65.4106250721431,low
XS_0581,14525.0,100,7.700000000000159,64.9915351262134,low
XS_0582,14550.0,100,10.500000000000114,68.51808763862572,low
XS_0583,14575.0,100,8.400000000000091,61.58104784776846,low
XS_0584,14600.0,100,3.5680000000000973,49.65874979765501,low
XS_0585,14625.0,100,2.1000000000001364,34.721959269037974,low
XS_0586,14650.0,100,2.2737367544323206e-13,2.149546075918932e-12,low
XS_0587,14675.0,100,2.2737367544323206e-13,2.149546075920867e-12,low
XS_0588,14700.0,100,1.400000000000091,13.00716972667821,low
XS_0589,14725.0,100,1.52900000000011,15.300051009768865,low
XS_0590,14750.0,100,2.3999999999999773,17.543829023536443,low
XS_0591,14775.0,100,4.111999999999966,34.92582664547296,low
XS_0592,14800.0,100,3.316000000000031,36.11561207728043,low
XS_0593,14825.0,100,3.1240000000000236,40.80338669352496,low
XS_0594,14850.0,100,1.7000000000000455,18.467257565154615,low
XS_0595,14875.0,100,0.8830000000001519,16.2455945734765,low
XS_0596,14900.0,100,2.29200000000003,26.683644999522382,low
XS_0597,14925.0,100,2.1639999999999873,24.796937085548542,low
XS_0598,14950.0,100,2.1000000000000227,24.796937085546464,low
XS_0599,14975.0,100,2.1000000000001364,24.796937085546872,low
XS_0600,15000.0,100,2.1000000000001364,34.721959269119736,low
XS_0601,15025.0,100,0.8830000000001519,16.245594573476424,low
XS_0602,15050.0,100,0.8380000000000791,15.458250750019477,low
XS_0603,15075.0,100,0.9370000000002392,17.18213177237412,low
XS_0604,15100.0,100,1.7000000000000455,17.388990816597186,low
XS_0605,15125.0,100,1.649000000000001,24.796937085363684,low
XS_0606,15150.0,100,0.97300000000007,17.801304993630684,low
XS_0607,15175.0,100,3.1000000000000227,34.72195926889268,low
XS_0608,15200.0,100,3.1000000000000227,35.5564261618822,low
XS_0609,15225.0,100,2.244000000000028,36.52068795290935,low
XS_0610,15250.0,100,2.3519999999999754,37.81718421003521,low
XS_0611,15275.0,100,2.48700000000008,39.376068486153294,low
XS_0612,15300.0,100,2.5950000000000273,40.575096841731764,low
XS_0613,15325.0,100,2.7029999999999745,41.73264267924224,low
XS_0614,15350.0,100,3.2889999999999873,46.064060617831,low
XS_0615,15375.0,100,3.0819999999999936,42.737933186095574,low
XS_0616,15400.0,100,1.3360000000000127,18.314027195355177,low
XS_0617,15425.0,100,2.084117185163336,33.60906324747879,low
XS_0618,15450.0,100,1.7840000000001055,30.48617292137614,low
XS_0619,15475.0,100,1.7120000000001028,29.46471098974882,low
XS_0620,15500.0,100,1.6220000000001846,28.158361840838484,low
XS_0621,15525.0,100,1.82000000000005,30.989027390917606,low
XS_0622,15550.0,100,3.7999999999999545,34.721959269152755,low
XS_0623,15575.0,100,3.7999999999999545,34.721959269152755,low
XS_0624,15600.0,100,3.091000000000008,34.721959269154205,low
XS_0625,15625.0,100,0.9460000000002537,17.337319661981514,low
XS_0626,15650.0,100,0.9730000000001837,17.801304993797256,low
XS_0627,15675.0,100,1.4829999999999472,16.767028902343636,low
XS_0628,15700.0,100,2.3999999999999773,24.7969370855125,low
XS_0629,15725.0,100,1.0,0.5672096869254394,low
XS_0630,15750.0,100,2.3999999999999773,29.11955601218292,low
XS_0631,15775.0,100,1.7300000000001319,29.72204593418938,low
XS_0632,15800.0,100,1.400000000000091,24.796937085469125,low
XS_0633,15825.0,100,1.0,0.5672096869254394,low
XS_0634,15850.0,100,1.567000000000121,15.035853805662414,low
XS_0635,15875.0,100,1.8920000000001664,31.979006688884553,low
XS_0636,15900.0,100,1.9460000000000264,32.70776548419968,low
XS_0637,15925.0,100,1.9820000000000846,33.18709390452743,low
XS_0638,15950.0,100,3.5000000000001137,34.721959268982374,low
XS_0639,15975.0,100,3.5000000000001137,34.72195926916804,low
XS_0640,16000.0,100,1.7840000000001055,30.486172921213843,low
XS_0641,16025.0,100,1.6940000000000737,29.20606345469253,low
XS_0642,16050.0,100,1.6760000000001583,28.946103882946613,low
XS_0643,16075.0,100,1.8380000000000791,31.238487034968404,low
XS_0644,16100.0,100,2.08400000000006,32.38532190200853,low
XS_0645,16125.0,100,1.7000000000000455,13.007169726750098,low
XS_0646,16150.0,100,1.0,0.5672096869246575,low
XS_0647,16175.0,100,1.7000000000000455,13.758733251988561,low
XS_0648,16200.0,100,1.7000000000000455,18.160525069035668,low
XS_0649,16225.0,100,0.901000000000181,16.55879292536398,low
XS_0650,16250.0,100,0.8110000000002628,14.982935348720249,low
XS_0651,16275.0,100,0.7750000000002046,14.345892789211469,low
XS_0652,16300.0,100,1.0,13.007169726731751,low
XS_0653,16325.0,100,1.0,12.8275424357868,low
XS_0654,16350.0,100,4.488613010283757,52.80954669512245,low
XS_0655,16375.0,100,3.82000000000005,51.575980092823706,low
XS_0656,16400.0,100,3.6760000000001583,50.49960581447782,low
XS_0657,16425.0,100,3.4988778684253248,43.125171759047426,low
XS_0658,16450.0,100,3.3980000000000246,42.046984491403386,low
XS_0659,16475.0,100,3.2420000000000755,37.21049285302808,low
XS_0660,16500.0,100,2.866000000000099,34.72195926912426,low
XS_0661,16525.0,100,0.7000000000001592,13.007169726761294,low
XS_0662,16550.0,100,0.7000000000001592,13.007169726729769,low
XS_0663,16575.0,100,2.84800000000007,34.72195926907508,low
XS_0664,16600.0,100,2.8570000000000846,34.72195926907508,low
XS_0665,16625.0,100,2.8750000000001137,34.72195926907521,low
XS_0666,16650.0,100,2.893000000000029,42.73793318629003,low
